File name,Genotype,Replicate,Category,RC_Count,Cell_Count
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_003,WT,3,"pav, vsg, pnut",8,95
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_004,WT,3,"pav, vsg, pnut",10,79
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_006,WT,3,"pav, vsg, pnut",8,77
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_001,WT,3,pav,18,96
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_002,WT,3,pav,14,84
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_003,WT,3,pav,19,95
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_004,WT,3,pav,19,79
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_006,WT,3,pav,9,77
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_001,WT,3,"pav, pnut",7,96
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_002,WT,3,"pav, pnut",8,84
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_003,WT,3,"pav, pnut",6,95
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_004,WT,3,"pav, pnut",6,79
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_006,WT,3,"pav, pnut",5,77
