,Genotype,Sample,label,area,DAPI_mean,DAPI_total
98,Control,0,2499,18093.0,206.48604432653514,3735952.0
99,Control,0,2500,21956.0,175.0904536345418,3844286.0
100,Control,0,2501,15149.0,174.30932734833982,2640612.0
101,Control,0,2502,14882.0,177.30217712673027,2638611.0
102,Control,0,2503,13628.0,181.04109186968006,2467228.0
103,Control,0,2504,7444.0,240.7193713057496,1791915.0
104,Control,0,2505,8468.0,232.94591402928674,1972586.0000000002
105,Control,0,2506,15587.0,222.17411945852314,3463028.0
106,Control,0,2507,15688.0,200.49439061703214,3145356.0
107,Control,0,2508,19914.0,196.50296273978105,3913160.0
108,Control,0,2509,15533.0,246.92416146269233,3835473.0
109,Control,0,2510,7667.0,178.31146471892527,1367114.0
110,Control,0,2513,16802.0,278.6464111415308,4681817.0
111,Control,0,2516,18917.0,168.6106147909288,3189607.0
112,Control,0,2517,15364.0,216.84958344181203,3331677.0
113,Control,0,2518,18727.0,258.3048539541838,4837275.0
114,Control,0,2519,15732.0,192.27669717772693,3024897.0
115,Control,0,2520,13556.0,173.1908380053113,2347775.0
116,Control,0,2521,8033.0,328.12012946595297,2635789.0
117,Control,0,2522,19600.0,213.88719387755103,4192189.0
118,Control,0,2523,9482.0,239.76218097447796,2273425.0
119,Control,0,2524,14742.0,250.64360331026998,3694988.0
120,Control,0,2525,7398.0,219.45620437956205,1623537.0
121,Control,0,2526,12093.0,245.31009675018606,2966535.0
122,Control,0,2528,20249.0,238.2574941972443,4824476.0
123,Control,0,2529,17937.0,246.61230975079445,4423485.0
124,Control,0,2530,13463.0,308.2969620441209,4150601.9999999995
125,Control,0,2531,6018.0,258.6271186440678,1556418.0000000002
126,Control,0,2532,9880.0,210.61305668016195,2080857.0
127,Control,0,2533,12343.0,237.30357287531393,2929038.0
128,Control,0,2534,19063.0,164.4731679169071,3135352.0
129,Control,0,2535,19288.0,206.76503525508087,3988084.0
130,Control,0,2536,28327.0,268.94122215554063,7618297.999999999
131,Control,0,2537,15027.0,319.64969721168563,4803376.0
132,Control,0,2538,15026.0,311.04745108478636,4673799.0
133,Control,0,2539,13090.0,128.30328495034377,1679490.0
134,Control,0,2540,12175.0,252.1488295687885,3069912.0
135,Control,0,2541,40416.0,218.56836401425178,8833659.0
136,Control,0,2542,10647.0,153.96440311824927,1639259.0
137,Control,0,2543,18372.0,292.56346614413235,5374975.999999999
138,Control,0,2544,16746.0,288.29386122059,4827769.0
139,Control,0,2545,17782.0,261.35547182544144,4647423.0
140,Control,0,2546,9687.0,225.19314545266852,2181446.0
141,Control,0,2547,13678.0,272.1416873811961,3722354.0000000005
142,Control,0,2548,18129.0,314.02211925643996,5692907.0
143,Control,0,2549,8920.0,182.7982062780269,1630560.0
144,Control,0,2550,16557.0,247.33236697469349,4095082.0
145,Control,0,2551,5375.0,241.38586046511628,1297449.0
146,Control,0,2552,11054.0,227.41134430975214,2513805.0
147,Control,0,2553,14724.0,242.47806302635155,3570247.0
148,Control,0,2554,8268.0,231.1135703918723,1910847.0
149,Control,0,2555,14954.0,222.19593419820785,3322718.0
150,Control,0,2556,26101.0,231.67185165319336,6046867.0
151,Control,0,2557,13899.0,252.95920569825168,3515880.0
152,Control,0,2558,21967.0,211.69618063458825,4650330.0
153,Control,0,2559,16536.0,234.15112481857764,3871923.0
154,Control,0,2560,14359.0,179.81405390347518,2581950.0
155,Control,0,2561,10533.0,165.97484097598024,1748213.0
156,Control,0,2562,20566.0,210.0148303024409,4319165.0
157,Control,0,2563,10423.0,126.53612203780102,1318886.0
158,Control,0,2564,7497.0,220.41950113378684,1652485.0
160,Control,0,2566,13587.0,232.99102082873335,3165649.0
161,Control,0,2567,28699.0,191.38837590159935,5492655.0
162,Control,0,2568,10999.0,263.10710064551324,2893915.0
163,Control,0,2569,14642.0,239.70605108591724,3509776.0
164,Control,0,2570,15679.0,215.37502391734168,3376865.0
165,Control,0,2571,9085.0,327.90071546505226,2978977.9999999995
166,Control,0,2572,9194.0,440.46291059386556,4049616.0
167,Control,0,2573,12117.0,270.5299166460345,3278011.0
168,Control,0,2574,18907.0,233.8708943777437,4421797.0
169,Control,0,2575,34081.0,311.7722778087497,10625511.0
170,Control,0,2576,16405.0,255.3674489484913,4189303.0
171,Control,0,2577,19409.0,273.0064918336854,5298783.0
172,Control,0,2578,14008.0,212.61264991433467,2978278.0
173,Control,0,2579,22136.0,241.98116190820383,5356495.0
174,Control,0,2580,16099.0,311.7675632026834,5019146.0
175,Control,0,2581,13740.0,182.3037845705968,2504854.0
176,Control,0,2582,12113.0,514.047056881037,6226652.000000001
177,Control,0,2583,14190.0,306.63354474982384,4351130.0
